cluster_id,mean_pc1,mean_pc2,mean_pc3,mean_pc4
1,-0.27261644067033036,-0.06365231573939345,-0.1450428772525035,-0.14294303720701557
2,0.3498647609247323,0.04918457789165402,-0.19931798699037748,-0.05626256342659581
3,-0.01557158697631126,-0.0851759256135822,-0.09490568678124342,-0.13562980493661506
4,0.3418763464441851,0.15714275333126093,-0.09610803624607193,-0.0030761520332767316
5,-0.017392874459220598,-0.08165917695733822,-0.09150094524986568,-0.13118842681376655
6,0.3605598310741763,0.0038724158878945454,-0.2016640387442563,-0.08002439450332978
7,0.3513500716568929,0.022222108307664603,-0.13707900004494888,-0.07404567139607407
8,-0.3072006781268579,-0.024575277029197342,-0.15545027574683765,-0.12368640947441634
9,0.04803882488794956,-0.23203537092153326,0.23101113992430633,-0.09422927868278483
10,-0.024529152664007826,-0.015860126767985497,-0.015622051830249688,-0.1133335898158749
11,-0.03429494100252597,-0.1584628611906444,-0.10480606489717155,0.3197428158478433
12,-0.036057955327463274,-0.16668811617291485,-0.09173404231293895,0.31167576792858215
13,-0.03834659392485523,-0.16967020841074948,-0.08031681824343398,0.3015206853319717
14,-0.25884247845830105,0.04398026523147312,-0.12051524191341464,-0.13866902061623582
15,0.031174234026326252,-0.1535871579032833,0.293455755321861,-0.037938870024939314
16,0.05671667252381647,-0.24817211186615232,0.3188979424473757,-0.10514696213756454
17,0.03292727046188527,-0.16332091203863985,0.28249532411892914,-0.08506287212897054
18,-0.05479652115885782,-0.047869548324619794,-0.023852557055531052,0.35091859283183235
19,-0.047913194132060855,-0.015388220273903967,-0.0573783982686853,-0.13642045070254682
20,-0.2714331898895402,0.011031451905334782,-0.11758910962128527,-0.08063519346782279
21,0.03537152180051294,0.29720890674431344,0.2423597286446534,-0.02505448644037693
22,-0.0533651339112772,0.3347178645368179,0.15778157223593908,0.17576239939039232
23,-0.12215365918759107,0.37203912083670576,0.04910009626981153,-0.0720354769128086
