record_id,pc1_plot,pc2_plot,cluster
cancer-immunotherapy-04-0302,-0.22092015850233257,-0.05704591318760555,12
cancer-immunotherapy-03-0191,-0.08022406996606277,0.0540975854299676,11
cancer-immunotherapy-04-0318,-0.2574203929293489,-0.03430802055026041,12
cancer-immunotherapy-01-0252,-0.08238221379587977,-0.06759113226714308,2
cancer-immunotherapy-r-0006,0.38263876376805667,-0.14704440754638332,5
cancer-immunotherapy-03-0118,-0.16290137501705457,-0.049607976936608435,4
cancer-immunotherapy-03-0412,-0.12307911824398023,-0.06309775566448454,7
cancer-immunotherapy-x-0114,0.0049612368313093945,0.3772651708541377,22
cancer-immunotherapy-01-0409,0.0032539550593537036,-0.05525371788196581,18
cancer-immunotherapy-r-0080,0.2940981133700676,-0.0838128123671614,3
cancer-immunotherapy-x-0255,-0.09350203307399908,0.4052869130440205,22
cancer-immunotherapy-01-0053,-0.011222067902681702,-0.01566067915986584,18
cancer-immunotherapy-02-0145,-0.08265648107775213,-0.16655347472511395,16
cancer-immunotherapy-04-0264,-0.2383134936604806,-0.01575309174841147,14
cancer-immunotherapy-r-0277,0.3753127396660846,0.043226826297684505,6
cancer-immunotherapy-02-0401,-0.14305345571767752,-0.20042591390413367,16
cancer-immunotherapy-03-0074,-0.04601742210945419,-0.062068442157650464,4
cancer-immunotherapy-01-0473,-0.008208445041411919,0.004182520518782941,18
cancer-immunotherapy-r-0239,0.39593966042499035,-0.0036260339890720823,1
cancer-immunotherapy-r-0047,0.36751341324733294,-0.027745539724444605,1
cancer-immunotherapy-01-0045,-0.020321321868543615,-0.011681150420715873,18
cancer-immunotherapy-01-0290,0.043610541099847744,-0.08612458779113032,17
cancer-immunotherapy-02-0413,-0.08438432291149672,-0.170153961495202,16
cancer-immunotherapy-x-0084,-0.03727197712819131,0.38315228857353845,21
cancer-immunotherapy-03-0361,-0.11515858674349251,-0.04657561127910967,8
cancer-immunotherapy-r-0396,0.2973508674813012,-0.06341574893846626,3
cancer-immunotherapy-r-0104,0.3915699649846662,-0.051665954954603105,3
cancer-immunotherapy-03-0227,-0.10278855215088036,0.060723564472195825,11
cancer-immunotherapy-01-0297,-0.03877983517188885,-0.007922293554015653,18
cancer-immunotherapy-03-0242,-0.07415997621299032,-0.05058955251448741,4
cancer-immunotherapy-03-0006,-0.08864810690673885,-0.0755787185257926,4
cancer-immunotherapy-04-0166,-0.1827686753090287,-0.04027322961423795,12
cancer-immunotherapy-02-0247,-0.045426880259261004,-0.2437072120450103,9
cancer-immunotherapy-r-0352,0.38072171751145895,-0.07267611187750579,3
cancer-immunotherapy-01-0292,-0.03371606504445328,-0.09744225641661786,2
cancer-immunotherapy-02-0282,-0.05008707212624697,-0.1886319150271079,15
cancer-immunotherapy-x-0145,0.026698081225553418,0.3083126830555069,20
cancer-immunotherapy-01-0323,0.002125716637232352,0.07606904964450384,19
cancer-immunotherapy-01-0299,0.03410650433336885,0.06920672203057257,19
cancer-immunotherapy-03-0299,-0.07883841830875585,0.06909227352448712,11
cancer-immunotherapy-01-0195,-0.016138244807516244,0.07158865569240602,19
cancer-immunotherapy-01-0064,-0.014628127667596257,-0.09149144987306017,2
cancer-immunotherapy-01-0394,0.04889891771988874,-0.09952170970647874,17
cancer-immunotherapy-02-0228,-0.014468252819541743,-0.21387749868802466,10
cancer-immunotherapy-04-0084,-0.21090889457271927,-0.006119576466913055,14
cancer-immunotherapy-04-0048,-0.19392700948004435,4.219797381727938e-05,14
cancer-immunotherapy-x-0426,0.004890203675419324,0.30681658655279587,22
cancer-immunotherapy-01-0015,-0.024755859183912945,0.07616637233845747,19
cancer-immunotherapy-r-0068,0.3288842460410756,-0.055326630865514384,3
cancer-immunotherapy-04-0101,-0.21915660827968603,-0.011093022893554492,14
cancer-immunotherapy-03-0091,-0.11585046746141293,0.0666494258524384,11
cancer-immunotherapy-x-0112,-0.021559901983853498,0.381866154546863,21
cancer-immunotherapy-01-0204,-0.08253228213433858,-0.05923493355499172,2
cancer-immunotherapy-x-0419,-0.10986639960145181,0.37478291994290003,22
cancer-immunotherapy-01-0153,-0.06903749137811536,0.004784217344538925,18
cancer-immunotherapy-r-0402,0.3499719597697975,-0.15425056207547677,5
cancer-immunotherapy-03-0360,-0.0720585952706766,-0.10376944594031766,7
cancer-immunotherapy-02-0273,-0.06541166331705492,-0.1640015416884283,16
cancer-immunotherapy-r-0179,0.36543332329815104,-0.02278669060930857,1
cancer-immunotherapy-03-0002,-0.07689406299109032,-0.05005304967385895,4
cancer-immunotherapy-02-0219,-0.036722163472756954,-0.2699932833915117,9
cancer-immunotherapy-02-0113,-0.1124631914083034,-0.17378112700626092,16
cancer-immunotherapy-02-0343,-0.05049067815123532,-0.2641219921886577,9
cancer-immunotherapy-01-0267,-0.009471969829020628,0.08209491234283955,19
cancer-immunotherapy-01-0052,-0.014022218778162716,-0.1421025557714331,2
cancer-immunotherapy-03-0196,-0.12118292830307122,-0.07613917686610862,7
cancer-immunotherapy-03-0271,-0.10925251013477127,0.061576682530758424,11
cancer-immunotherapy-03-0492,-0.06785305356205219,-0.10297124350753113,7
cancer-immunotherapy-04-0083,-0.2175027191559661,-0.054237355182290496,13
cancer-immunotherapy-02-0022,-0.06414713513946974,-0.15756580905138093,15
cancer-immunotherapy-04-0195,-0.255037738034181,-0.03747743258044408,13
cancer-immunotherapy-r-0164,0.3405516186158005,-0.07603754588940534,3
cancer-immunotherapy-r-0249,0.37351898324710525,0.04951345870032756,6
cancer-immunotherapy-04-0422,-0.2257481068523508,-0.05826603005153155,12
cancer-immunotherapy-01-0103,0.00025001116307467325,0.02714767747366855,19
cancer-immunotherapy-02-0196,-0.05132857135818193,-0.2416847626794962,10
cancer-immunotherapy-x-0333,0.034960649977435594,0.26928115528301194,20
cancer-immunotherapy-r-0225,0.3828963345167311,0.050167046730440985,6
cancer-immunotherapy-x-0273,0.04068606940968287,0.30573472940818675,20
cancer-immunotherapy-x-0483,-0.06268490655233058,0.39341911218881925,22
cancer-immunotherapy-04-0343,-0.20412615168557774,-0.010959819450925468,13
cancer-immunotherapy-04-0331,-0.23479147024349084,-0.03162703999118125,13
cancer-immunotherapy-02-0295,-0.0448896928303719,-0.22431837203811392,9
cancer-immunotherapy-04-0321,-0.26303419096481706,-0.009458681935765422,14
cancer-immunotherapy-x-0002,0.009797160074412397,0.3710263077300585,22
cancer-immunotherapy-01-0145,0.00496343833037209,-0.005124572935014616,18
cancer-immunotherapy-r-0026,0.398881654363872,-0.17433395024541615,5
cancer-immunotherapy-03-0331,-0.11705775706471777,0.06976277453885847,11
cancer-immunotherapy-x-0478,0.035820497734539485,0.3129348835872732,22
cancer-immunotherapy-r-0382,0.4313686149911611,-0.1203399857720728,5
cancer-immunotherapy-01-0322,0.08548208936604111,-0.10503364580743124,17
cancer-immunotherapy-03-0262,-0.10232251993366062,-0.054860887272015754,4
cancer-immunotherapy-x-0415,-0.05695206176421737,0.4089518902276562,22
cancer-immunotherapy-03-0270,-0.07232454072155241,-0.13584727086847107,4
cancer-immunotherapy-04-0261,-0.23000442912473884,-0.002812527628789512,14
cancer-immunotherapy-01-0417,-0.02511962029534414,0.011520691120603468,18
cancer-immunotherapy-r-0132,0.357672303879989,-0.07669501937061589,3
cancer-immunotherapy-x-0292,-0.024521175537435887,0.37835503194182263,21
cancer-immunotherapy-01-0175,-0.0014211549943175745,0.06232063773747037,19
cancer-immunotherapy-04-0226,-0.19751361215980723,-0.03741716894813605,12
cancer-immunotherapy-x-0176,-0.04197431843501805,0.3991880751345857,21
cancer-immunotherapy-01-0046,0.06412074802328992,-0.09972607759867802,17
cancer-immunotherapy-02-0186,-0.019666734009748315,-0.16967138740917906,15
cancer-immunotherapy-04-0108,-0.22020116334289003,-0.01056107280061627,14
cancer-immunotherapy-03-0232,-0.06988034568031125,-0.08819806693057328,7
cancer-immunotherapy-02-0363,-0.017136520394218296,-0.2818948107782625,9
cancer-immunotherapy-04-0466,-0.20284974534930234,-0.041702828212613466,12
cancer-immunotherapy-01-0332,-0.019739385683941745,-0.09026946433995771,2
cancer-immunotherapy-01-0094,0.056544180760225535,-0.10741747460086298,17
cancer-immunotherapy-04-0142,-0.19920511307775812,-0.035502891636399726,12
cancer-immunotherapy-r-0487,0.39578911100936626,-0.02157120838462018,1
