cluster_id,mean_pc1,mean_pc2,mean_pc3,mean_pc4
-1,-0.020966308247661773,-0.015433479044990296,0.1563457398646882,0.10466753846657992
1,0.32773762410859447,-0.09700002232649527,-0.1920227371060271,-0.12773808561845812
2,-0.016565195052149193,-0.1389177442995219,-0.00026773202927230666,0.2547646720553926
3,0.3192049858874463,-0.15439247896684424,-0.2338633551938386,-0.07919907002612042
4,-0.01719569040432645,-0.1168359231415554,0.010164368508879178,0.2602093378212939
5,0.3265668610357893,0.02234734176084749,-0.2027976667429065,-0.11930928455119125
6,0.3242762571232626,-0.08721124673486523,-0.2206623945835716,-0.08539820077979011
7,0.05948957199578572,-0.08156005335868734,0.2754567771256922,-0.1254724611000062
8,-0.01497455560352457,-0.028646145177888077,0.02264865021420509,0.24145218714581818
9,0.0862983058130294,-0.057181323846438266,0.3526106661322151,-0.18922556831510273
10,-0.020746876557025846,-0.09649261448816408,0.053596786305360015,0.14831691864964208
11,0.06663580510072484,0.02894223682581627,0.30507288568665564,-0.1358788731877439
12,-0.324792863461511,-0.16728285402231166,-0.09760396199953825,-0.18147228474254706
13,-0.27823160649299095,-0.1271831622641741,-0.08329257120899947,-0.15306634570497638
14,-0.350320660901962,-0.016760677911549865,-0.15322626360596214,-0.1815702398144823
15,-0.03924463691245478,-0.04985303631640989,-0.013331456364609433,0.24870686992582855
16,-0.0855533923538979,0.32190599966767003,-0.1472090890711342,0.0700943921982148
17,-0.02779142962177007,-0.09936690358374539,0.049945300352869704,0.16102745785390984
18,-0.03628683895658075,-0.05988100546469104,0.06410996004385204,0.14764533707319358
19,0.06146474385506186,0.38416411263093003,0.036334376840734005,0.03751692043382259
20,-0.16544460009756914,0.3764599530928576,-0.1628743486398472,-0.04068573806799457
21,0.05323426759924586,0.4025118986169125,0.050583644575169034,-0.009074237040323202
