cluster_id,mean_pc1,mean_pc2,mean_pc3,mean_pc4
1,0.3561101502355495,-0.038626233698218104,-0.09502917015363373,0.13870202438272208
2,0.015495682174783308,-0.05650603241561993,0.06557384216333534,0.2817926338227418
3,0.31684422172965054,-0.029246311340392104,-0.12689217253308355,0.22081452142269603
4,0.1056636473434608,0.1979383100314449,0.31816241095174924,-0.1112293819789817
5,0.31087167459412857,0.05027153459319406,-0.12742551576008407,0.0877865916340765
6,0.2466337343492123,0.08263039591684543,-0.23910265885527657,0.09791326932119124
7,-0.2411784366950492,-0.09027088247525937,0.10796748182536176,0.08897241582220777
8,0.05691872381814475,0.15721634683950197,0.26984245738834806,-0.08468187943000276
9,-0.2769187376817483,-0.08126024131214499,0.10047752128855851,0.1200080248942687
10,0.040063632666203546,0.18095065964715953,0.2333390029584441,-0.14948334328223045
11,0.14562544765113267,-0.3699383389304388,0.06359822723057522,-0.10608066192949808
12,-0.07344854877870634,0.08185447861953662,-0.00038011111302348297,0.2122342156935932
13,0.0744036723187245,0.2830311485371005,0.25162386442566287,-0.15811160055271803
14,-0.04694059620541336,0.01078119671047939,0.07194590873016285,0.2111744201329592
15,-0.07548095209224279,0.01746371448140815,0.028030401904797712,0.2045580973012714
16,-0.2824701895931928,-0.08075307787882903,0.007214172352491228,0.04566568169989899
17,-0.10414581280309092,0.05209980133610259,-0.28381686709632037,-0.26837945074187486
18,0.06032980554400968,-0.29930486222511316,0.060332859638953164,-0.17100613613810653
19,0.015194949904470841,-0.21964601515023785,-0.01796648404793925,-0.20103035866615807
20,-0.04643943806653696,0.3308909599649278,-0.201506160649321,-0.12148965900434261
21,-0.30859793341479363,-0.0647635039138279,0.02470154624485355,0.09908278091035198
22,-0.2447186897396144,0.13239201355139094,-0.28720654943724483,0.002173381565916906
